文件名称,相对路径,资源类型,动作内容,动作语义置信度,识别依据
em0002_00_001_Loop.uasset,em0002_00_001_Loop.uasset,AnimationLoop,动画组00的循环动作资源；大概率用于待机/移动/飞行/盘旋/持续咆哮等持续状态，具体动作需在Unreal预览确认,低,文件名含Loop，命名模式em0002_xx_xxx
em0002_00_003_Loop.uasset,em0002_00_003_Loop.uasset,AnimationLoop,动画组00的循环动作资源；大概率用于待机/移动/飞行/盘旋/持续咆哮等持续状态，具体动作需在Unreal预览确认,低,文件名含Loop，命名模式em0002_xx_xxx
em0002_00_005_Loop.uasset,em0002_00_005_Loop.uasset,AnimationLoop,动画组00的循环动作资源；大概率用于待机/移动/飞行/盘旋/持续咆哮等持续状态，具体动作需在Unreal预览确认,低,文件名含Loop，命名模式em0002_xx_xxx
em0002_00_007_Loop.uasset,em0002_00_007_Loop.uasset,AnimationLoop,动画组00的循环动作资源；大概率用于待机/移动/飞行/盘旋/持续咆哮等持续状态，具体动作需在Unreal预览确认,低,文件名含Loop，命名模式em0002_xx_xxx
em0002_00_008.uasset,em0002_00_008.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_010.uasset,em0002_00_010.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_011.uasset,em0002_00_011.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_012.uasset,em0002_00_012.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_013.uasset,em0002_00_013.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_014.uasset,em0002_00_014.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_015.uasset,em0002_00_015.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_023_Loop.uasset,em0002_00_023_Loop.uasset,AnimationLoop,动画组00的循环动作资源；大概率用于待机/移动/飞行/盘旋/持续咆哮等持续状态，具体动作需在Unreal预览确认,低,文件名含Loop，命名模式em0002_xx_xxx
em0002_00_024.uasset,em0002_00_024.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_026.uasset,em0002_00_026.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_027.uasset,em0002_00_027.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_028.uasset,em0002_00_028.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_029.uasset,em0002_00_029.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_030.uasset,em0002_00_030.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
em0002_00_031.uasset,em0002_00_031.uasset,AnimationClip,动画组00的一次性动作资源；大概率用于攻击/受击/转向/起落/技能/衔接等单次表现，具体动作需在Unreal预览确认,低,命名模式em0002_xx_xxx
